Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
360 BING CHERRY FLAVORED VODKA,LIQUOR,GLAZER'S,8559214248,299563A,360 BING CHERRY FLAV,50ML,,7.7,,7.7,0.93,,0,0,,,,,,,,,,,,,,,7.7,46.22,,,0,60,,,
360 BING CHERRY FLAVORED VODKA,,GLAZER'S,8559213865,299561,360 BING CHERRY FLAV,750ML,,11.62,,11.62,14.99,,0,0,,,,,,,,,,,,,,,11.62,139.44,,,0,12,,,
360 DBL CHOC VODKA,LIQUOR,GLAZER'S,8559213856,434240,360 DBL CHOC VODKA,375ML,,6.24,,6.24,7.99,,1,1,,,,,,,,,,,,,,,6.24,61,,H,1,24,,,
360 DBL CHOCOLATE VODKA,LIQUOR,GLAZER'S,8559213855,281178,360 DBL CHOCOLATE VO,750ML,,11.62,,11.62,15.99,,2,2,,,,,,,,,,,,,,,11.62,149.32,,A,1,12,,,
360 VODKA,LIQUOR,GLAZER'S,8559213371,184300,360 VODKA,1.75L,,17.11,,17.11,21.99,,0,0,,,,,,,,,,,,,,,17.11,102.68,,,5,6,,,
360 VODKA,LIQUOR,GLAZER'S,8559213375,174395,360 VODKA,750ML,,10.11,,10.11,12.99,,0,0,,,,,,,,,,,,,,,10.11,121.39,,,-8,12,,,
360 VODKA 50 ML,LIQUOR,GLAZER'S,8559213378,239828,360 VODKA 50 ML,50ML,,7.7,,7.7,0.93,,0,0,,,,,,,,,,,,,,,7.7,46.22,,,2,60,,,
360 VODKA ROYALS BLUE,LIQUOR,GLAZER'S,8559216025,907747,360 VODKA ROYALS BLU,750ML,,0,,0,12.99,,0,0,,,,,,,,,,,,,,,0,121.39,,,0,12,,,
360 WALK OFF,LIQUOR,GLAZER'S,8559215455,472566,360 WALK OFF,750ML,,6.22,,6.22,8.99,,0,0,,,,,,,,,,,,,,,6.22,74.65,,,0,12,,,
4 HANDS CHOC MILK,BEER,CENTRAL STATES,4023217677,131804,4 HANDS CHOC MILK,11.2Z,,7.2,,7.2,8.99,,0,0,,,,,,,,,,,,,,,7.2,28.8,,,0,4,,,
